,Provincias,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
12,13 Ciudad Real,3831.5,2038.0,3619.5,2071.5,3565.5,1988.5,1935.5,3355.0,3308.5,3242.0,3147.5,3088.0,3042.5,3042.0,3026.0,2943.0,2918.5,2851.0,2777.5,2697.0,2565.0,2409.0,2394.0,2298.5,2280.5,2240.0,2230.0,2193.0,2261.5,2367.0,2452.5,2570.5,2550.5,2823.5,2645.0,2591.5,2524.0,1351.0,2294.0,2122.5,2162.5,2129.0,2006.5,1838.0,1789.0,1706.0
13,14 Córdoba,6346.0,6390.5,6271.0,6219.0,3211.5,3369.0,5703.0,5699.5,2904.5,5442.0,5164.0,5120.5,2682.0,5030.0,4954.0,4904.5,2702.0,4868.0,2525.5,4442.0,4129.0,4038.5,4031.0,2320.0,3975.5,3994.0,3929.0,3942.5,4087.0,2315.0,4139.0,4283.0,2360.5,4339.5,4154.5,3953.5,3959.5,3759.5,3583.5,3589.0,3525.0,1862.0,3248.5,1682.5,2999.0,2824.5
14,"15 Coruña, A",5129.0,9225.0,4791.0,9050.0,8340.5,7748.5,3915.0,7078.5,6552.0,6219.5,5688.5,5165.5,2786.5,4927.0,4654.5,4503.0,4327.0,4308.0,4261.0,3868.5,3732.0,2077.0,3782.5,3786.5,3791.5,3971.5,3978.0,3933.0,4163.0,4273.0,4408.0,2539.5,2407.0,4912.5,4781.0,4686.0,4629.0,2574.5,4225.0,4114.0,4193.0,4169.5,3872.5,3566.0,3307.0,3229.0
15,16 Cuenca,819.0,1458.5,1356.5,1358.5,1292.5,1298.0,644.5,1237.5,1200.0,1158.0,1131.5,1101.5,1106.0,5479.5,1068.0,1051.0,1023.0,4912.5,9425.0,8820.0,8725.0,8460.0,8350.0,7695.0,8140.0,8110.0,8145.0,8365.0,8360.0,8220.0,7905.0,8550.0,8285.0,9335.0,9020.0,8955.0,8700.0,8000.0,7650.0,7745.0,7610.0,7535.0,7035.0,6515.0,6945.0,5965.0
16,17 Girona,3930.0,3977.0,2086.0,3919.0,3847.5,1845.5,3063.0,2974.5,2793.5,2650.0,2668.0,2527.0,2510.5,1375.5,2560.0,2653.5,2662.5,2721.0,2638.0,2570.0,2464.0,2561.0,2650.0,2624.5,2635.5,2924.5,2982.0,3115.5,3510.0,2079.0,2036.5,4221.5,4215.0,4667.0,4508.0,4468.0,2299.5,4018.5,3754.5,3702.5,3770.0,3587.5,3511.0,3372.5,3218.5,3167.0
17,18 Granada,6822.5,6806.0,3596.0,6652.5,3635.0,3341.5,5965.0,5910.5,5683.0,5642.0,5489.0,2614.5,5322.5,5161.0,2702.0,5099.5,5106.5,4980.5,4820.5,4579.5,2585.5,4486.5,4428.5,4324.0,4280.0,4406.0,4432.5,4278.0,4542.5,2656.0,2378.5,5010.5,5206.0,5273.0,4852.0,470.0,4630.0,4539.5,4170.0,4252.5,2440.0,4317.5,3984.0,3720.5,3818.0,3525.0
18,19 Guadalajara,9135.0,9630.0,9580.0,9385.0,9315.0,9120.0,8630.0,8470.0,8780.0,7720.0,7355.0,7810.0,7365.0,7565.0,6705.0,6600.0,6795.0,7240.0,6920.0,6790.0,7065.0,7130.0,7270.0,7355.0,7940.0,8865.0,8700.0,4913.5,563.5,1110.0,116.5,1355.0,798.0,1576.0,1561.5,1547.5,1484.0,1421.5,1290.5,1222.0,1227.5,637.0,1096.0,1057.0,5492.5,9725.0
19,20 Gipuzkoa,6369.0,3799.0,3320.0,5555.0,4658.0,4163.0,4063.0,4046.0,2008.0,3438.5,3190.0,3236.5,2950.0,1551.5,2822.0,2686.0,2704.0,2737.0,1508.5,1491.0,2687.5,279.5,2883.0,2824.0,1588.5,3005.5,1642.5,1735.0,3383.5,3389.0,1926.0,3516.5,3576.5,2058.0,3572.5,3610.5,3524.0,3449.5,3143.5,3181.0,3180.5,3008.5,2796.5,2736.0,2570.0,2513.0
20,21 Huelva,3950.0,4085.5,3900.0,4021.5,3893.0,3757.0,3580.5,3526.0,3313.0,3173.0,3071.0,2960.0,1482.5,2851.0,2759.0,2703.5,2496.0,2659.5,1469.0,2439.0,1273.0,2303.0,2325.0,1237.0,2368.5,2414.5,2463.5,2504.0,2602.0,2618.5,2751.5,1606.5,2910.0,3073.5,2916.0,2882.0,2751.5,2607.5,1294.0,2590.0,2501.5,2367.5,2336.5,2128.0,2259.5,2115.0
21,22 Huesca,753.5,764.0,1395.0,1351.5,1304.5,1343.5,664.0,1152.0,1053.5,5339.5,5088.0,9745.0,9160.0,8605.0,8375.0,8205.0,8395.0,8605.0,7465.0,8235.0,7845.0,8015.0,7780.0,7760.0,7945.0,7865.0,8240.0,8115.0,8260.0,9200.0,9005.0,9490.0,9720.0,1070.5,5504.5,9975.0,9645.0,9495.0,9605.0,8665.0,9350.0,8605.0,8615.0,8255.0,7900.0,7430.0
